city,source_type,url,summary,title,word_count,extraction_date,file_path
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Kyiv_Pechersk_Lavra,"The 'Kyiv Pechersk Lavra' or 'Kyievo-Pecherska Lavra' , also known as the 'Kyiv Monastery of the Caves', is a historic lavra or large monastery of Eastern Christianity that gave its name to the Pecher...",Kyiv-Pechersk Lavra,2317,2025-08-08 12:51:16,data/raw/Kyiv_Kyiv-Pechersk Lavra.txt
Kyiv,wikipedia,"https://en.wikipedia.org/wiki/Saint_Sophia_Cathedral,_Kyiv","The 'Saint Sophia Cathedral' (, in Kyiv, Ukraine, is an architectural monument of Kievan Rus'. The former cathedral is one of the city's best known landmarks and the first heritage site in Ukraine to ...",St. Sophia's Cathedral,1045,2025-08-08 12:51:17,data/raw/Kyiv_St. Sophia's Cathedral.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Maidan_Nezalezhnosti,"'Maidan Nezalezhnosti' or 'Independence Square' is the central town square of Kyiv, the capital city of Ukraine. One of the city's main squares, it is located on Khreshchatyk Street in the Shevchenko ...",Maidan Nezalezhnosti,1809,2025-08-08 12:51:18,data/raw/Kyiv_Maidan Nezalezhnosti.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Andriivskyi_Descent,"'Andriivskyi Descent' or 'Andrew's Descent' is a historic descent connecting Kyiv's Upper Town neighborhood and the historically commercial Podil neighborhood. The street, often advertised by tour gui...",Andriyivskyy Descent,2120,2025-08-08 12:51:19,data/raw/Kyiv_Andriyivskyy Descent.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/St._Michael's_Golden-Domed_Monastery,"The 'St. Michael's Golden-Domed Monastery' is a monastery in Kyiv, the capital of Ukraine, dedicated to Saint Michael the Archangel. It is located on the edge of the bank of the Dnipro river, to the n...",St. Michael's Golden-Domed Monastery,6073,2025-08-08 12:51:20,data/raw/Kyiv_St. Michael's Golden-Domed Monastery.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Mariinskyi_Palace,"The 'Mariinskyi Palace' is the official residence of the president of Ukraine. The Elizabethan baroque palace is sited on the right bank of the Dnipro River in Kyiv, Ukraine, adjoining the neo-classic...",Mariyinsky Palace,454,2025-08-08 12:51:21,data/raw/Kyiv_Mariyinsky Palace.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/National_Opera_of_Ukraine,"The 'Kyiv Opera' group in Ukraine was formally established in the summer of 1867, and is the second oldest opera in Ukraine, after Odesa Opera and before Lviv Opera.",National Opera House of Ukraine,1352,2025-08-08 12:51:22,data/raw/Kyiv_National Opera House of Ukraine.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Mother_Ukraine,"''Mother Ukraine'' is a monumental Soviet-era statue in Kyiv, the capital of Ukraine. The sculpture is a part of the National Museum of the History of Ukraine in the Second World War. In 2023, the Sov...",Ukrainian Motherland Monument,1304,2025-08-08 12:51:23,data/raw/Kyiv_Ukrainian Motherland Monument.txt
Kyiv,wikipedia,"https://en.wikipedia.org/wiki/Golden_Gate,_Kyiv","The 'Golden Gate of Kyiv' was the main gate in the 11th century fortifications of Kyiv, the capital of the Kievan Rus'. It was named in imitation of the Golden Gate of Constantinople. The structure wa...",Golden Gate,897,2025-08-08 12:51:23,data/raw/Kyiv_Golden Gate.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/National_Art_Museum_of_Ukraine,"The 'National Art Museum of Ukraine' (, 'NAMU') is a museum dedicated to Ukrainian art in Kyiv, Ukraine.",National Art Museum of Ukraine,1571,2025-08-08 12:51:24,data/raw/Kyiv_National Art Museum of Ukraine.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/National_Museum_of_the_History_of_Ukraine,"The 'National Museum of the History of Ukraine' ( 'MIST', ) illustrates Ukraine's history from ancient times to the present. It is one of the leading museums in Ukraine. It holds about 800,000 items i...",National Museum of the History of Ukraine,1513,2025-08-08 12:51:25,data/raw/Kyiv_National Museum of the History of Ukraine.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/PinchukArtCentre,"'PinchukArtCentre' is a private contemporary art centre, located in Kyiv with a collection of works by Ukrainian and international artists. The museum was opened on 16 September 2006 by the steel bill...",Pinchuk Art Centre,1325,2025-08-08 12:51:26,data/raw/Kyiv_Pinchuk Art Centre.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Vydubychi_Monastery,The 'Vydubychi Monastery' is a historic monastery in the Ukrainian capital Kyiv. During the Soviet period it housed the NANU Institute of Archaeology.,Vydubychi Monastery,665,2025-08-08 12:51:27,data/raw/Kyiv_Vydubychi Monastery.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Kyiv_Funicular,"The 'Kyiv Funicular' is a steep slope railroad on Kyiv Hills that serves the city of Kyiv, connecting the historic 'Uppertown', and the lower commercial neighborhood of Podil through the steep Volodym...",Kyiv Funicular,399,2025-08-08 12:51:28,data/raw/Kyiv_Kyiv Funicular.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Khreshchatyk,"'Khreshchatyk' is the main street of Kyiv, the capital city of Ukraine. The street is 1.2 kilometres long, and runs in a northeast-southwest direction from European Square through the Maidan to Bessar...",Khreshchatyk,1594,2025-08-08 12:51:28,data/raw/Kyiv_Khreshchatyk.txt
Kyiv,wikipedia,"https://en.wikipedia.org/wiki/St_Andrew's_Church,_Kyiv","'St Andrew's Church' (, 'Andriivska tserkva') is an Orthodox church in Kyiv, constructed between 1747 and 1754 to a design by the Italian architect Bartolomeo Rastrelli. It is a rare example of Elizab...",St. Andrew's Church,1506,2025-08-08 12:51:29,data/raw/Kyiv_St. Andrew's Church.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/St_Volodymyr's_Cathedral,"'St Volodymyr's Cathedral' is a cathedral in the centre of Kyiv, and one of the city's major landmarks at the intersection of Ivan Franko Street, the Taras Shevchenko Boulevard, and the Botanical Squa...",St. Volodymyr's Cathedral,612,2025-08-08 12:51:30,data/raw/Kyiv_St. Volodymyr's Cathedral.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Mariinskyi_Park,"'Mariinskyi Park' is a park located in Pechersk neighborhood in front of the Supreme Council of Ukraine (Constitution Square), Hrushevsky Street, and Park Road. The park is also a Soviet necropolis. T...",Mariinsky Park,486,2025-08-08 12:51:31,data/raw/Kyiv_Mariinsky Park.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Kyiv_Zoo,"The 'Kyiv Zoo' is the largest zoo in Kyiv, Ukraine, and one of the largest in the former Soviet Union. Situated on about 40 ha, the zoo is cared for by 378 staff members and receives about 280,000 vis...",Kyiv Zoo,725,2025-08-08 12:51:32,data/raw/Kyiv_Kyiv Zoo.txt
Kyiv,wikipedia,https://en.wikipedia.org/wiki/Hydropark_in_Kyiv,"'Hydropark', or 'Hidropark' (from ) is a landscape-recreational park on the Dnieper River in Kyiv, Ukraine.== History ==",Hydropark,147,2025-08-08 12:51:32,data/raw/Kyiv_Hydropark.txt
Lviv,wikipedia,https://en.wikipedia.org/wiki/Market_Square_(Lviv),"'Rynok Square' is a central square of the city of Lviv, Ukraine. According to archaeological data, the square was planned in the second half of the 13th century, during the reign of Prince Leo I of Ga...",Rynok Square,1495,2025-08-08 12:51:33,data/raw/Lviv_Rynok Square.txt
Lviv,wikipedia,https://en.wikipedia.org/wiki/Lviv_High_Castle,"The 'Lviv High Castle' is a historic castle located on the top of the Castle Hill of the city of Lviv, Ukraine. It is currently the highest point in the city, 413 metres above sea level. The castle cu...",High Castle,518,2025-08-08 12:51:34,data/raw/Lviv_High Castle.txt
Lviv,wikipedia,https://en.wikipedia.org/wiki/Lviv_Theatre_of_Opera_and_Ballet,"The 'Solomiya Krushelnytska Lviv State Academic Theatre of Opera and Ballet' or 'Lviv Opera' is an opera house located in Lviv, Ukraine's largest western city and one of its cultural centres. Original...",Lviv National Opera,984,2025-08-08 12:51:35,data/raw/Lviv_Lviv National Opera.txt
Lviv,wikipedia,https://en.wikipedia.org/wiki/Armenian_Cathedral_of_Lviv,"The 'Armenian Cathedral of the Assumption of Mary' in Lviv, Ukraine is located in the city's Old Town, north of the market square. Until 1945 it was the cathedral of the Armenian Catholic Archdiocese ...",Armenian Cathedral of Lviv,627,2025-08-08 12:51:36,data/raw/Lviv_Armenian Cathedral of Lviv.txt
Lviv,wikipedia,"https://en.wikipedia.org/wiki/Cathedral_Basilica_of_the_Assumption,_Lviv","The 'Archcathedral Basilica of the Assumption of the Blessed Virgin Mary' , usually called simply the 'Latin Cathedral' is a 14th-century Latin Catholic cathedral in Lviv, western Ukraine. It is locat...","Latin Cathedral, Lviv",493,2025-08-08 12:51:36,"data/raw/Lviv_Latin Cathedral, Lviv.txt"
Lviv,wikipedia,"https://en.wikipedia.org/wiki/Dominican_Church,_Lviv","The 'Dominican Church and Monastery' in Lviv, Ukraine is located in the city's Old Town, east of the market square. It was originally built as the Roman Catholic church of Corpus Christi, and today se...",The Church of the Holy Eucharist,470,2025-08-08 12:51:37,data/raw/Lviv_The Church of the Holy Eucharist.txt
Lviv,wikipedia,https://en.wikipedia.org/wiki/Boim_Chapel,"The 'Boim Chapel' is a monument of religious architecture in Cathedral Square, Lviv, Ukraine. It was constructed from 1609 to 1615 and is part of Lviv's Old Town, a UNESCO World Heritage Site.",Boim Chapel,1097,2025-08-08 12:51:38,data/raw/Lviv_Boim Chapel.txt
Lviv,wikipedia,"https://en.wikipedia.org/wiki/Potocki_Palace,_Lviv","The 'Potocki Palace' in Lviv was built in the 1880s as an urban seat of Alfred Józef Potocki, former Minister-President of Austria. No cost was spared to make it the grandest nobleman's residence in t...","Potocki Palace, Lviv",1034,2025-08-08 12:51:39,"data/raw/Lviv_Potocki Palace, Lviv.txt"
Lviv,wikipedia,https://en.wikipedia.org/wiki/Lychakiv_Cemetery,"The 'Lychakiv Cemetery' , officially titled 'State History and Culture Museum-Reserve ""Lychakiv Cemetery""' , is a historic cemetery in Lviv, Ukraine.",Lychakiv Cemetery,1487,2025-08-08 12:51:39,data/raw/Lviv_Lychakiv Cemetery.txt
Lviv,wikipedia,"https://en.wikipedia.org/wiki/Pharmacy_Museum,_Lviv","The 'Pharmacy Museum' (drugsrore-mesuem) in Lviv, Ukraine, was opened in 1966 in the building of an old drugstore at the corner of the Market Square. It is the working drugstore and museum (two in one...","Pharmacy Museum, Lviv",103,2025-08-08 12:51:40,"data/raw/Lviv_Pharmacy Museum, Lviv.txt"
Lviv,wikipedia,https://en.wikipedia.org/wiki/Lviv_Town_Hall,"The city of Lviv, Ukraine has had a series of town hall buildings since approximately 1357. These have for centuries been recognized landmarks of the community. The modern building located at 1 Market...",Lviv City Hall,353,2025-08-08 12:51:41,data/raw/Lviv_Lviv City Hall.txt
Lviv,wikipedia,https://en.wikipedia.org/wiki/Shevchenkivskyi_Hai,"The 'Klymentiy Sheptytsky Museum of Folk Architecture and Rural Life' , also known as 'Shevchenkivskyi Hai' is an open-air museum (skansen) located in Lviv, Ukraine.",Shevchenkivskyi Hai Park Museum,1483,2025-08-08 12:51:42,data/raw/Lviv_Shevchenkivskyi Hai Park Museum.txt
Lviv,wikipedia,"https://en.wikipedia.org/wiki/Bernardine_Church,_Lviv","The 'Bernardine church and monastery' in Lviv, Ukraine, is located in the city's Old Town, south of the market square. It was designed by Paolo Dominici. The monastery along with the church of St. And...","Bernardine Church and Monastery, Lviv",289,2025-08-08 12:51:43,"data/raw/Lviv_Bernardine Church and Monastery, Lviv.txt"
Lviv,wikipedia,"https://en.wikipedia.org/wiki/St._George's_Cathedral,_Lviv","'St. George's Cathedral' (, translit. 'Sobor sviatoho Yura') is a baroque-rococo cathedral located in the city of Lviv, the historic capital of western Ukraine. It was constructed between 1744-1760 on...","St. George's Cathedral, Lviv",756,2025-08-08 12:51:43,"data/raw/Lviv_St. George's Cathedral, Lviv.txt"
Lviv,wikipedia,"https://en.wikipedia.org/wiki/Church_of_Sts._Olha_and_Elizabeth,_Lviv","The 'Church of Sts. Olha and Elizabeth' is a Catholic church located in Lviv, Ukraine between the city's main rail station and the Old Town. It was originally built as a Western Catholic church and to...","St. Elizabeth's Church, Lviv",213,2025-08-08 12:51:44,"data/raw/Lviv_St. Elizabeth's Church, Lviv.txt"
Lviv,wikipedia,https://en.wikipedia.org/wiki/Borys_Voznytsky_Lviv_National_Art_Gallery,"The 'Borys Voznytsky Lviv National Art Gallery' is the largest art museum in Ukraine, with over 62,000 artworks in its collection, including works of Ukrainian, Polish, Italian, French, German, Dutch ...","National Art Gallery, Lviv",3185,2025-08-08 12:51:45,"data/raw/Lviv_National Art Gallery, Lviv.txt"
Lviv,wikipedia,https://en.wikipedia.org/wiki/Ivan_Franko_Park_(Lviv),"'Ivan Franko Park' formerly known as 'Kościuszko Park' and the 'Jesuit Gardens', is a park in Lviv, Ukraine. It is the oldest park in the country.",Ivan Franko Park,233,2025-08-08 12:51:46,data/raw/Lviv_Ivan Franko Park.txt
Lviv,wikipedia,https://en.wikipedia.org/wiki/Lviv_Arsenal,"The 'City Arsenal' is the oldest of three historic arsenal buildings in Lviv, Ukraine. The other two are the Royal Arsenal and Sieniawski Arsenal. It is a rectangular two-storey structure with a minia...","Museum-Arsenal, Lviv",109,2025-08-08 12:51:46,"data/raw/Lviv_Museum-Arsenal, Lviv.txt"
Lviv,wikipedia,"https://en.wikipedia.org/wiki/Black_House,_Lviv","The 'Black House' is a remarkable Renaissance building on the Market Square in the city of Lviv, Ukraine. It was built for Italian tax-collector Tomaso Alberti in 1577. The architect was probably Piot...","Black House, Lviv",828,2025-08-08 12:51:47,"data/raw/Lviv_Black House, Lviv.txt"
Lviv,wikipedia,https://en.wikipedia.org/wiki/Armenian_Cathedral_of_Lviv,"The 'Armenian Cathedral of the Assumption of Mary' in Lviv, Ukraine is located in the city's Old Town, north of the market square. Until 1945 it was the cathedral of the Armenian Catholic Archdiocese ...","Armenian Quarter, Lviv",627,2025-08-08 12:51:48,"data/raw/Lviv_Armenian Quarter, Lviv.txt"
